1: A=The Thousand Good Books
2: A=From: The Death of Christian Culture by John Senior (IHS Press)
4: A=Author | B=Book Title | C=Age Group | D=Index Group
94: A=Aldrich, Thomas Bailey | B=Cloth of Gold, and other poems | C=SCHOOL DAYS (ages 7–12) | D=2.0
95: A=Aldrich, Thomas Bailey | B=The Course of True Love Never Did Run Smooth | C=SCHOOL DAYS (ages 7–12) | D=2.0
96: A=Aldrich, Thomas Bailey | B=Daisy's Necklace; and What Came Of It | C=SCHOOL DAYS (ages 7–12) | D=2.0
97: A=Aldrich, Thomas Bailey | B=Flower and Thorn, later poems | C=SCHOOL DAYS (ages 7–12) | D=2.0
98: A=Aldrich, Thomas Bailey | B=Friar Jerome's Beautiful Book | C=SCHOOL DAYS (ages 7–12) | D=2.0
99: A=Aldrich, Thomas Bailey | B=The Little Violinist | C=SCHOOL DAYS (ages 7–12) | D=2.0
100: A=Aldrich, Thomas Bailey | B=Marjorie Daw | C=SCHOOL DAYS (ages 7–12) | D=2.0
101: A=Aldrich, Thomas Bailey | B=A Midnight Fantasy | C=SCHOOL DAYS (ages 7–12) | D=2.0
102: A=Aldrich, Thomas Bailey | B=Miss Mehitable's Son | C=SCHOOL DAYS (ages 7–12) | D=2.0
103: A=Aldrich, Thomas Bailey | B=Our New Neighbors at Ponkapog | C=SCHOOL DAYS (ages 7–12) | D=2.0
104: A=Aldrich, Thomas Bailey | B=Poems of T.B. Aldrich | C=SCHOOL DAYS (ages 7–12) | D=2.0
105: A=Aldrich, Thomas Bailey | B=The Stillwater Tragedy | C=SCHOOL DAYS (ages 7–12) | D=2.0
106: A=Aldrich, Thomas Bailey | B=Story of a Bad Boy | C=SCHOOL DAYS (ages 7–12) | D=2.0
107: A=Aldrich, Thomas Bailey | B=Two Bites at a Cherry, with other tales | C=SCHOOL DAYS (ages 7–12) | D=2.0
108: A=Belloc, Hilaire | B=Cautionary Tales for Children (designed for the admonition of children between the ages of 8 and 14) | C=SCHOOL DAYS (ages 7–12) | D=2.0
109: A=Browning, Robert | B=The Pied Piper of Hamelin (illustrated by Kate Greenaway [Warne]) | C=SCHOOL DAYS (ages 7–12) | D=2.0
110: A=Burnett, Frances Hodgson | B=Little Lord Fauntleroy | C=SCHOOL DAYS (ages 7–12) | D=2.0
