1: A=The Thousand Good Books
2: A=From: The Death of Christian Culture by John Senior (IHS Press)
4: A=Author | B=Book Title | C=Age Group | D=Index Group
532: A=Tolstoy, Leo | B=The Death of Ivan Ilyitch and Other Stories | C=YOUTH (ages 16–20) | D=4.0
533: A=Tolstoy, Leo | B=Fables for Children | C=YOUTH (ages 16–20) | D=4.0
534: A=Tolstoy, Leo | B=The Kreutzer Sonata | C=YOUTH (ages 16–20) | D=4.0
535: A=Tolstoy, Leo | B=Master and Man | C=YOUTH (ages 16–20) | D=4.0
536: A=Tolstoy, Leo | B=My Confession | C=YOUTH (ages 16–20) | D=4.0
537: A=Tolstoy, Leo | B=My Religion | C=YOUTH (ages 16–20) | D=4.0
538: A=Tolstoy, Leo | B=Resurrection | C=YOUTH (ages 16–20) | D=4.0
539: A=Tolstoy, Leo | B=Tales of Sevastopol | C=YOUTH (ages 16–20) | D=4.0
540: A=Tolstoy, Leo | B=War and Peace | C=YOUTH (ages 16–20) | D=4.0
541: A=Tolstoy, Leo | B=What Is to Be Done? | C=YOUTH (ages 16–20) | D=4.0
542: A=Trollope, Anthony | B=Barchester (series) | C=YOUTH (ages 16–20) | D=4.0
543: A=Turgenev, Ivan | B=The Brigadier and Other Stories | C=YOUTH (ages 16–20) | D=4.0
544: A=Turgenev, Ivan | B=Dream Tales and Prose Poems | C=YOUTH (ages 16–20) | D=4.0
545: A=Turgenev, Ivan | B=Fathers and Sons | C=YOUTH (ages 16–20) | D=4.0
546: A=Turgenev, Ivan | B=A Hunter's Sketches | C=YOUTH (ages 16–20) | D=4.0
547: A=Turgenev, Ivan | B=Knock, Knock, Knock and Other Stories | C=YOUTH (ages 16–20) | D=4.0
548: A=Turgenev, Ivan | B=A Month in the Country | C=YOUTH (ages 16–20) | D=4.0
549: A=Turgenev, Ivan | B=A Nest of Gentlefolk | C=YOUTH (ages 16–20) | D=4.0
550: A=Turgenev, Ivan | B=Rudin | C=YOUTH (ages 16–20) | D=4.0
551: A=Turgenev, Ivan | B=Smoke | C=YOUTH (ages 16–20) | D=4.0
552: A=Turgenev, Ivan | B=Spring Torrents | C=YOUTH (ages 16–20) | D=4.0
553: A=Undset, Sigrid | B=The Burning Bush | C=YOUTH (ages 16–20) | D=4.0
554: A=Undset, Sigrid | B=Catherine of Siena | C=YOUTH (ages 16–20) | D=4.0
555: A=Undset, Sigrid | B=The Faithful Wife | C=YOUTH (ages 16–20) | D=4.0
556: A=Undset, Sigrid | B=Gunnar's Daughter | C=YOUTH (ages 16–20) | D=4.0
557: A=Undset, Sigrid | B=Ida Elisabeth | C=YOUTH (ages 16–20) | D=4.0
558: A=Undset, Sigrid | B=Jenny | C=YOUTH (ages 16–20) | D=4.0
559: A=Undset, Sigrid | B=Kristin Lavransdatter | C=YOUTH (ages 16–20) | D=4.0
560: A=Undset, Sigrid | B=The Master of Hestviken | C=YOUTH (ages 16–20) | D=4.0
561: A=Undset, Sigrid | B=Saga of Saints | C=YOUTH (ages 16–20) | D=4.0
562: A=Undset, Sigrid | B=The Wild Orchid | C=YOUTH (ages 16–20) | D=4.0
563: A=Verga, Giovanni | B=Cavalleria Rusticana and Other Stories | C=YOUTH (ages 16–20) | D=4.0
564: A=Verga, Giovanni | B=The House by the Medlar Tree (translated by D.H. Lawrence) | C=YOUTH (ages 16–20) | D=4.0
565: A=Verga, Giovanni | B=Little Novels of Sicily | C=YOUTH (ages 16–20) | D=4.0
566: A=Washington, Booker T. | B=Up From Slavery | C=YOUTH (ages 16–20) | D=4.0
